period_key,member_key,source_system,member_tier,group_key,pc_volume,sp_reward_basis,global_reward_usd,pool_reward_usd,cashout_usd,sink_spend_usd,active_member,recognized_revenue_usd,gross_margin_usd,member_join_period,is_affiliate,cross_app_active,extra_json
2024-05,PARAMS-01,bgc,starter,GROUP-A,18407497.89,109476.31547671,19803.58611468,2001.08,19803.5870394,2644.86370923,true,184049.59368407,64418.62884186,2024-04,,,"{""source_files"":[""Copy of SIMULATION SHEETS v0.1 - PARAMS.csv"",""Copy of SIMULATION SHEETS v0.1 - DATA_AGG.csv""],""source_categories"":[""params_monthly_topup"",""data_agg_monthly_override""],""top_up_strategy"":""monthly_gap_against_existing_bundle"",""params_period_key"":""2024-05"",""data_agg_period_key"":""2024-05""}"
2024-05,PARAMS-03,bgc,starter,GROUP-A,13294304.04,79066.23015528,14302.59198165,1445.22,14302.58765353,1910.18539857,true,132924.70543864,46524.56305271,2024-04,,,"{""source_files"":[""Copy of SIMULATION SHEETS v0.1 - PARAMS.csv"",""Copy of SIMULATION SHEETS v0.1 - DATA_AGG.csv""],""source_categories"":[""params_monthly_topup"",""data_agg_monthly_override""],""top_up_strategy"":""monthly_gap_against_existing_bundle"",""params_period_key"":""2024-05"",""data_agg_period_key"":""2024-05""}"
2024-05,B103740856,iblooming,special,,0,0,0,0,0,1.98,true,1.98,0.594,2024-04,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-05,B129622839,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-05,B160796984,iblooming,pioneer,,0,0,0,0,0,0.99,true,0.99,0.297,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-05,B181457055,iblooming,special,,0,0,0,0,0,3.96,true,3.96,1.188,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-05,B204315268,iblooming,pioneer,,0,0,0,0,0,0.99,true,0.99,0.297,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-05,B217167830,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-05,B217721807,iblooming,special,,0,0,0,0,0,20.89,true,20.89,6.267,2024-04,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-05,B224891829,iblooming,pioneer,,0,0,0,0,0,1.98,true,1.98,0.594,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-05,B253090150,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-05,B485207186,iblooming,pioneer,,0,0,0,0,0,0.99,true,0.99,0.297,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-05,B800106499,iblooming,pioneer,,0,0,0,0,0,2.97,true,2.97,0.891,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-05,B868334277,iblooming,pioneer,,0,0,0,0,0,1.98,true,1.98,0.594,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-05,B935905295,iblooming,special,,0,0,0,0,0,4.95,true,4.95,1.485,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-05,B956994621,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-05,CP-04MHHCI,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-04,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-05,CP-0BJVCMZ,iblooming,pathfinder,,0,0,0,0,0,1.98,true,1.98,0.594,2024-05,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-05,CP-0C4G5S5,iblooming,pioneer,,0,0,0,0,0,13.96,true,13.96,4.188,2024-05,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-05,CP-0FWZZZT,iblooming,special,,0,0,0,0,0,1.98,true,1.98,0.594,2024-05,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-05,CP-0U5KTDJ,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-05,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-05,CP-0ZX120C,iblooming,pioneer,,0,0,0,0,0,0.99,true,0.99,0.297,2024-05,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-05,CP-1AJX2IO,iblooming,voyager,,0,0,0,0,0,1.98,true,1.98,0.594,2024-05,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-05,CP-1BFV2F6,iblooming,voyager,,0,0,0,0,0,4.95,true,4.95,1.485,2024-05,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-05,CP-1KKMA42,iblooming,voyager,,0,0,0,0,0,2.97,true,2.97,0.891,2024-05,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-05,CP-1N5YEZ8,iblooming,pioneer,,0,0,0,0,0,2.97,true,2.97,0.891,2024-05,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-05,CP-1PPTB0Y,iblooming,pathfinder,,0,0,0,0,0,0.99,true,0.99,0.297,2024-05,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-05,PARAMS-02,iblooming,starter,GROUP-A,15339581.58,91230.26190683,16502.98239908,1667.57,16502.98740788,2204.05474185,true,153374.66473626,53682.18736861,2024-04,true,true,"{""source_files"":[""Copy of SIMULATION SHEETS v0.1 - PARAMS.csv"",""Copy of SIMULATION SHEETS v0.1 - DATA_AGG.csv""],""source_categories"":[""params_monthly_topup"",""data_agg_monthly_override""],""top_up_strategy"":""monthly_gap_against_existing_bundle"",""params_period_key"":""2024-05"",""data_agg_period_key"":""2024-05""}"
2024-05,PARAMS-04,iblooming,starter,GROUP-B,11249026.49,66902.19246118,12102.18950459,1222.88,12102.18789919,1616.30615036,true,112474.74614103,39366.93873682,2024-04,true,,"{""source_files"":[""Copy of SIMULATION SHEETS v0.1 - PARAMS.csv"",""Copy of SIMULATION SHEETS v0.1 - DATA_AGG.csv""],""source_categories"":[""params_monthly_topup"",""data_agg_monthly_override""],""top_up_strategy"":""monthly_gap_against_existing_bundle"",""params_period_key"":""2024-05"",""data_agg_period_key"":""2024-05""}"
2024-06,PARAMS-01,bgc,starter,GROUP-A,8756346.32,58181.05263158,12109.37660537,2360.84,12109.37368421,2569.80947368,true,87502.26947589,30628.85442137,2024-04,,,"{""source_files"":[""Copy of SIMULATION SHEETS v0.1 - PARAMS.csv"",""Copy of SIMULATION SHEETS v0.1 - DATA_AGG.csv""],""source_categories"":[""params_monthly_topup"",""data_agg_monthly_override""],""top_up_strategy"":""monthly_gap_against_existing_bundle"",""params_period_key"":""2024-06"",""data_agg_period_key"":""2024-06""}"
2024-06,PARAMS-03,bgc,starter,GROUP-A,6324027.89,42019.64912281,8745.66242338,1705.05,8745.65877193,1855.97676458,true,63196.08684137,22120.84319088,2024-04,,,"{""source_files"":[""Copy of SIMULATION SHEETS v0.1 - PARAMS.csv"",""Copy of SIMULATION SHEETS v0.1 - DATA_AGG.csv""],""source_categories"":[""params_monthly_topup"",""data_agg_monthly_override""],""top_up_strategy"":""monthly_gap_against_existing_bundle"",""params_period_key"":""2024-06"",""data_agg_period_key"":""2024-06""}"
2024-06,B103740856,iblooming,special,,0,0,0,0,0,10.89,true,10.89,3.267,2024-04,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B104280274,iblooming,special,,0,0,0,0,0,7.98,true,7.98,2.394,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B155544690,iblooming,special,,0,0,0,0,0,15.99,true,15.99,4.797,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B156224096,iblooming,special,,0,0,0,0,0,0.59,true,0.59,0.177,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B159763976,iblooming,special,,0,0,0,0,0,21.16,true,21.16,6.348,2024-04,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B160796984,iblooming,pioneer,,0,0,0,0,0,0.99,true,0.99,0.297,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B160807711,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B180920012,iblooming,pioneer,,0,0,0,0,0,2.97,true,2.97,0.891,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B181457055,iblooming,special,,0,0,0,0,0,5.99,true,5.99,1.797,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B217167830,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B217721807,iblooming,special,,0,0,0,0,0,17.19,true,17.19,5.157,2024-04,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B237995151,iblooming,explorer,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B259577349,iblooming,pioneer,,0,0,0,0,0,3.96,true,3.96,1.188,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B259912888,iblooming,special,,0,0,0,0,0,3,true,3,0.9,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B260033245,iblooming,special,,0,0,0,0,0,3,true,3,0.9,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B279675989,iblooming,explorer,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B285334533,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B297196122,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B298190294,iblooming,special,,0,0,0,0,0,1.98,true,1.98,0.594,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B304166875,iblooming,pioneer,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B307480670,iblooming,special,,0,0,0,0,0,23.97,true,23.97,7.191,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B314289560,iblooming,explorer,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B350888047,iblooming,pioneer,,0,0,0,0,0,11,true,11,3.3,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B535269767,iblooming,special,,0,0,0,0,0,1.98,true,1.98,0.594,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B546958173,iblooming,voyager,,0,0,0,0,0,1.98,true,1.98,0.594,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B687679315,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B731028251,iblooming,pioneer,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B788397427,iblooming,pioneer,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B800106499,iblooming,pioneer,,0,0,0,0,0,0.99,true,0.99,0.297,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B935905295,iblooming,special,,0,0,0,0,0,4.98,true,4.98,1.494,2024-05,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,B975472223,iblooming,pioneer,,0,0,0,0,0,1.98,true,1.98,0.594,2024-06,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-06,CP-099JJ2G,iblooming,voyager,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-09L106O,iblooming,pathfinder,,0,0,0,0,0,5,true,5,1.5,2024-06,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-0FGZW90,iblooming,special,,0,0,0,0,0,6.93,true,6.93,2.079,2024-06,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-0M72RA1,iblooming,pioneer,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-0MJXZTO,iblooming,pathfinder,,0,0,0,0,0,2.28,true,2.28,0.684,2024-06,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-0OL6KO5,iblooming,pioneer,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-0V9SVCF,iblooming,pathfinder,,0,0,0,0,0,1.98,true,1.98,0.594,2024-06,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-0Y5WQV3,iblooming,pathfinder,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-1AJX2IO,iblooming,voyager,,0,0,0,0,0,0.99,true,0.99,0.297,2024-05,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-1FCN6LC,iblooming,pathfinder,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-1I0QI42,iblooming,pathfinder,,0,0,0,0,0,1.98,true,1.98,0.594,2024-06,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-1KEEDZO,iblooming,,,0,0,0,0,0,0,true,0,0,2024-06,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-1KKMA42,iblooming,voyager,,0,0,0,0,0,4.05,true,4.05,1.215,2024-05,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-1N5YEZ8,iblooming,pioneer,,0,0,0,0,0,3,true,3,0.9,2024-05,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-1NASO3M,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-1PKK78J,iblooming,special,,0,0,0,0,0,6.58,true,6.58,1.974,2024-06,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-1RNTUMV,iblooming,pathfinder,,0,0,0,0,0,0.59,true,0.59,0.177,2024-06,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,CP-1WN61BK,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-06,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-06,PARAMS-02,iblooming,starter,GROUP-A,7296955.26,48484.21052632,10091.14254597,1967.37,10091.14473684,2141.50789474,true,72918.55789658,25524.04368547,2024-04,true,true,"{""source_files"":[""Copy of SIMULATION SHEETS v0.1 - PARAMS.csv"",""Copy of SIMULATION SHEETS v0.1 - DATA_AGG.csv""],""source_categories"":[""params_monthly_topup"",""data_agg_monthly_override""],""top_up_strategy"":""monthly_gap_against_existing_bundle"",""params_period_key"":""2024-06"",""data_agg_period_key"":""2024-06""}"
2024-06,PARAMS-04,iblooming,starter,GROUP-B,5351100.53,35555.0877193,7400.16842528,1442.74,7400.17280702,1570.435867,true,53473.61578616,18717.63270228,2024-04,true,,"{""source_files"":[""Copy of SIMULATION SHEETS v0.1 - PARAMS.csv"",""Copy of SIMULATION SHEETS v0.1 - DATA_AGG.csv""],""source_categories"":[""params_monthly_topup"",""data_agg_monthly_override""],""top_up_strategy"":""monthly_gap_against_existing_bundle"",""params_period_key"":""2024-06"",""data_agg_period_key"":""2024-06""}"
2024-07,PARAMS-01,bgc,starter,GROUP-A,2769326.05,18800.52698538,4049.44493256,874.37236842,4049.44053661,3007.65737147,true,27675.75736875,9687.39039474,2024-04,,,"{""source_files"":[""Copy of SIMULATION SHEETS v0.1 - PARAMS.csv"",""Copy of SIMULATION SHEETS v0.1 - DATA_AGG.csv""],""source_categories"":[""params_monthly_topup"",""data_agg_monthly_override""],""top_up_strategy"":""monthly_gap_against_existing_bundle"",""params_period_key"":""2024-07"",""data_agg_period_key"":""2024-07""}"
2024-07,PARAMS-03,bgc,starter,GROUP-A,2000068.82,13578.15809561,2924.59273604,631.49171053,2924.60264142,2172.19919987,true,19988.04920936,6996.44861842,2024-04,,,"{""source_files"":[""Copy of SIMULATION SHEETS v0.1 - PARAMS.csv"",""Copy of SIMULATION SHEETS v0.1 - DATA_AGG.csv""],""source_categories"":[""params_monthly_topup"",""data_agg_monthly_override""],""top_up_strategy"":""monthly_gap_against_existing_bundle"",""params_period_key"":""2024-07"",""data_agg_period_key"":""2024-07""}"
2024-07,PARAMS-05,bgc,builder,GROUP-B,1538514.47,10444.73777953,2249.69003372,485.76131578,2249.68675126,1670.9163432,true,15375.41631878,5381.88355263,2024-07,true,true,"{""source_files"":[""Copy of SIMULATION SHEETS v0.1 - PARAMS.csv"",""Copy of SIMULATION SHEETS v0.1 - DATA_AGG.csv""],""source_categories"":[""params_monthly_topup"",""data_agg_monthly_override""],""top_up_strategy"":""monthly_gap_against_existing_bundle"",""params_period_key"":""2024-07"",""data_agg_period_key"":""2024-07""}"
2024-07,B115082123,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-07,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-07,B150644836,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-07,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-07,B159763976,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-04,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
