period_key,member_key,source_system,member_tier,group_key,pc_volume,sp_reward_basis,global_reward_usd,pool_reward_usd,cashout_usd,sink_spend_usd,active_member,recognized_revenue_usd,gross_margin_usd,member_join_period,is_affiliate,cross_app_active
2024-08,PARAMS-05,bgc,builder,GROUP-B,939478.95,27332.66,1300.79,1432.48,2733.27,4401.26,true,9394.79,3288.18,2024-07,true,true
2024-08,PARAMS-06,iblooming,builder,GROUP-B,845531.05,24599.39,1170.71,1289.23,2459.94,3961.14,true,8455.31,2959.36,2024-07,false,true
2024-09,PARAMS-01,bgc,starter,GROUP-A,2484473.68,52879.71,2342.61,2945.37,5287.97,0.00,true,24844.74,8695.66,2024-04,false,false
2024-09,PARAMS-02,iblooming,starter,GROUP-A,2070394.74,44066.43,1952.17,2454.47,4406.64,0.00,true,20703.95,7246.38,2024-04,true,true
2024-09,PARAMS-03,bgc,starter,GROUP-A,1794342.11,38190.90,1691.88,2127.21,3819.09,0.00,true,17943.42,6280.20,2024-04,false,false
2024-09,PARAMS-04,iblooming,starter,GROUP-B,1518289.47,32315.38,1431.59,1799.95,3231.54,0.00,true,15182.89,5314.01,2024-04,true,false
2024-09,PARAMS-05,bgc,builder,GROUP-B,1380263.16,29377.62,1301.45,1636.31,2937.76,0.00,true,13802.63,4830.92,2024-07,true,true
2024-09,PARAMS-06,iblooming,builder,GROUP-B,1242236.84,26439.86,1171.30,1472.68,2643.99,0.00,true,12422.37,4347.83,2024-07,false,true
2024-10,PARAMS-01,bgc,starter,GROUP-A,1863947.37,19323.95,1932.39,0.00,1932.39,307.89,true,18639.47,6523.82,2024-04,false,false
2024-10,PARAMS-02,iblooming,starter,GROUP-A,1553289.47,16103.29,1610.33,0.00,1610.33,256.58,true,15532.89,5436.51,2024-04,true,true
2024-10,PARAMS-03,bgc,starter,GROUP-A,1346184.21,13956.18,1395.62,0.00,1395.62,222.37,true,13461.84,4711.64,2024-04,false,false
2024-10,PARAMS-04,iblooming,starter,GROUP-B,1139078.95,11809.08,1180.91,0.00,1180.91,188.16,true,11390.79,3986.78,2024-04,true,false
2024-10,PARAMS-05,bgc,builder,GROUP-B,1035526.32,10735.53,1073.55,0.00,1073.55,171.05,true,10355.26,3624.34,2024-07,true,true
2024-10,PARAMS-06,iblooming,builder,GROUP-B,931973.68,9661.97,966.20,0.00,966.20,153.95,true,9319.74,3261.91,2024-07,false,true
2024-11,PARAMS-01,bgc,starter,GROUP-A,2618786.84,29991.32,2999.13,0.00,2999.13,7645.03,true,26187.87,9165.75,2024-04,false,false
2024-11,PARAMS-02,iblooming,starter,GROUP-A,2182322.37,24992.76,2499.28,0.00,2499.28,6370.86,true,21823.22,7638.13,2024-04,true,true
2024-11,PARAMS-03,bgc,starter,GROUP-A,1891346.05,21660.39,2166.04,0.00,2166.04,5521.41,true,18913.46,6619.71,2024-04,false,false
2024-11,PARAMS-04,iblooming,starter,GROUP-B,1600369.74,18328.03,1832.80,0.00,1832.80,4671.96,true,16003.70,5601.29,2024-04,true,false
2024-11,PARAMS-05,bgc,builder,GROUP-B,1454881.58,16661.84,1666.18,0.00,1666.18,4247.24,true,14548.82,5092.09,2024-07,true,true
2024-11,PARAMS-06,iblooming,builder,GROUP-B,1309393.42,14995.66,1499.57,0.00,1499.57,3822.51,true,13093.93,4582.88,2024-07,false,true
2024-12,PARAMS-01,bgc,starter,GROUP-A,1932418.42,39218.68,3921.87,0.00,3921.87,8457.39,true,19324.18,6763.46,2024-04,false,false
2024-12,PARAMS-02,iblooming,starter,GROUP-A,1610348.68,32682.24,3268.22,0.00,3268.22,7047.83,true,16103.49,5636.22,2024-04,true,true
2024-12,PARAMS-03,bgc,starter,GROUP-A,1395635.53,28324.61,2832.46,0.00,2832.46,6108.12,true,13956.36,4884.72,2024-04,false,false
2024-12,PARAMS-04,iblooming,starter,GROUP-B,1180922.37,23966.97,2396.70,0.00,2396.70,5168.41,true,11809.22,4133.23,2024-04,true,false
2024-12,PARAMS-05,bgc,builder,GROUP-B,1073565.79,21788.16,2178.82,0.00,2178.82,4698.55,true,10735.66,3757.48,2024-07,true,true
2024-12,PARAMS-06,iblooming,builder,GROUP-B,966209.21,19609.34,1960.93,0.00,1960.93,4228.70,true,9662.09,3381.73,2024-07,false,true
2025-01,PARAMS-01,bgc,starter,GROUP-A,1083956.04,11090.77,1109.08,0.00,1109.08,5002.42,true,10839.56,3793.85,2024-04,false,false
2025-01,PARAMS-02,iblooming,starter,GROUP-A,903296.70,9242.31,924.23,0.00,924.23,4168.68,true,9032.97,3161.54,2024-04,true,true
2025-01,PARAMS-03,bgc,starter,GROUP-A,782857.14,8010.00,801.00,0.00,801.00,3612.86,true,7828.57,2740.00,2024-04,false,false
2025-01,PARAMS-04,iblooming,starter,GROUP-B,662417.58,6777.69,677.77,0.00,677.77,3057.03,true,6624.18,2318.46,2024-04,true,false
2025-01,PARAMS-05,bgc,builder,GROUP-B,602197.80,6161.54,616.15,0.00,616.15,2779.12,true,6021.98,2107.69,2024-07,true,true
2025-01,PARAMS-06,iblooming,builder,GROUP-B,541978.02,5545.38,554.54,0.00,554.54,2501.21,true,5419.78,1896.92,2024-07,false,true
2025-01,PARAMS-07,bgc,builder,GROUP-C,481758.24,4929.23,492.92,0.00,492.92,2223.30,true,4817.58,1686.15,2025-01,true,false
2025-01,PARAMS-08,iblooming,builder,GROUP-C,421538.46,4313.08,431.31,0.00,431.31,1945.38,true,4215.38,1475.38,2025-01,false,true
2025-02,PARAMS-01,bgc,starter,GROUP-A,1062830.77,12940.22,1294.02,0.00,1294.02,4107.96,true,10628.31,3719.91,2024-04,false,false
2025-02,PARAMS-02,iblooming,starter,GROUP-A,885692.31,10783.52,1078.35,0.00,1078.35,3423.30,true,8856.92,3099.92,2024-04,true,true
2025-02,PARAMS-03,bgc,starter,GROUP-A,767600.00,9345.71,934.57,0.00,934.57,2966.86,true,7676.00,2686.60,2024-04,false,false
2025-02,PARAMS-04,iblooming,starter,GROUP-B,649507.69,7907.91,790.79,0.00,790.79,2510.42,true,6495.08,2273.28,2024-04,true,false
2025-02,PARAMS-05,bgc,builder,GROUP-B,590461.54,7189.01,718.90,0.00,718.90,2282.20,true,5904.62,2066.62,2024-07,true,true
2025-02,PARAMS-06,iblooming,builder,GROUP-B,531415.38,6470.11,647.01,0.00,647.01,2053.98,true,5314.15,1859.95,2024-07,false,true
2025-02,PARAMS-07,bgc,builder,GROUP-C,472369.23,5751.21,575.12,0.00,575.12,1825.76,true,4723.69,1653.29,2025-01,true,false
2025-02,PARAMS-08,iblooming,builder,GROUP-C,413323.08,5032.31,503.23,0.00,503.23,1597.54,true,4133.23,1446.63,2025-01,false,true
2025-03,PARAMS-01,bgc,starter,GROUP-A,822857.14,12483.30,1248.33,0.00,1248.33,3936.26,true,8228.57,2880.00,2024-04,false,false
2025-03,PARAMS-02,iblooming,starter,GROUP-A,685714.29,10402.75,1040.27,0.00,1040.27,3280.22,true,6857.14,2400.00,2024-04,true,true
2025-03,PARAMS-03,bgc,starter,GROUP-A,594285.71,9015.71,901.57,0.00,901.57,2842.86,true,5942.86,2080.00,2024-04,false,false
2025-03,PARAMS-04,iblooming,starter,GROUP-B,502857.14,7628.68,762.87,0.00,762.87,2405.49,true,5028.57,1760.00,2024-04,true,false
2025-03,PARAMS-05,bgc,builder,GROUP-B,457142.86,6935.16,693.52,0.00,693.52,2186.81,true,4571.43,1600.00,2024-07,true,true
2025-03,PARAMS-06,iblooming,builder,GROUP-B,411428.57,6241.65,624.16,0.00,624.16,1968.13,true,4114.29,1440.00,2024-07,false,true
2025-03,PARAMS-07,bgc,builder,GROUP-C,365714.29,5548.13,554.81,0.00,554.81,1749.45,true,3657.14,1280.00,2025-01,true,false
2025-03,PARAMS-08,iblooming,builder,GROUP-C,320000.00,4854.62,485.46,0.00,485.46,1530.77,true,3200.00,1120.00,2025-01,false,true
2025-04,PARAMS-01,bgc,starter,GROUP-A,4291406.25,50321.25,5032.12,0.00,5032.12,2601.56,true,42914.06,15019.92,2024-04,false,false
2025-04,PARAMS-02,iblooming,starter,GROUP-A,3576171.88,41934.38,4193.44,0.00,4193.44,2167.97,true,35761.72,12516.60,2024-04,true,true
2025-04,PARAMS-03,bgc,starter,GROUP-A,3099348.96,36343.13,3634.31,0.00,3634.31,1878.91,true,30993.49,10847.72,2024-04,false,false
2025-04,PARAMS-04,iblooming,starter,GROUP-B,2622526.04,30751.88,3075.19,0.00,3075.19,1589.84,true,26225.26,9178.84,2024-04,true,false
2025-04,PARAMS-05,bgc,builder,GROUP-B,2384114.58,27956.25,2795.62,0.00,2795.62,1445.31,true,23841.15,8344.40,2024-07,true,true
2025-04,PARAMS-06,iblooming,builder,GROUP-B,2145703.12,25160.62,2516.06,0.00,2516.06,1300.78,true,21457.03,7509.96,2024-07,false,true
2025-04,PARAMS-07,bgc,builder,GROUP-C,1907291.67,22365.00,2236.50,0.00,2236.50,1156.25,true,19072.92,6675.52,2025-01,true,false
2025-04,PARAMS-08,iblooming,builder,GROUP-C,1668880.21,19569.38,1956.94,0.00,1956.94,1011.72,true,16688.80,5841.08,2025-01,false,true
2025-04,PARAMS-09,bgc,leader,GROUP-C,1192057.29,13978.12,1397.81,0.00,1397.81,722.66,true,11920.57,4172.20,2025-04,true,true
2025-05,PARAMS-01,bgc,starter,GROUP-A,2159343.75,28252.50,2825.25,0.00,2825.25,3825.00,true,21593.44,7557.70,2024-04,false,false
2025-05,PARAMS-02,iblooming,starter,GROUP-A,1799453.12,23543.75,2354.38,0.00,2354.38,3187.50,true,17994.53,6298.09,2024-04,true,true
2025-05,PARAMS-03,bgc,starter,GROUP-A,1559526.04,20404.58,2040.46,0.00,2040.46,2762.50,true,15595.26,5458.34,2024-04,false,false
2025-05,PARAMS-04,iblooming,starter,GROUP-B,1319598.96,17265.42,1726.54,0.00,1726.54,2337.50,true,13195.99,4618.60,2024-04,true,false
2025-05,PARAMS-05,bgc,builder,GROUP-B,1199635.42,15695.83,1569.58,0.00,1569.58,2125.00,true,11996.35,4198.72,2024-07,true,true
2025-05,PARAMS-06,iblooming,builder,GROUP-B,1079671.88,14126.25,1412.62,0.00,1412.62,1912.50,true,10796.72,3778.85,2024-07,false,true
2025-05,PARAMS-07,bgc,builder,GROUP-C,959708.33,12556.67,1255.67,0.00,1255.67,1700.00,true,9597.08,3358.98,2025-01,true,false
2025-05,PARAMS-08,iblooming,builder,GROUP-C,839744.79,10987.08,1098.71,0.00,1098.71,1487.50,true,8397.45,2939.11,2025-01,false,true
2025-05,PARAMS-09,bgc,leader,GROUP-C,599817.71,7847.92,784.79,0.00,784.79,1062.50,true,5998.18,2099.36,2025-04,true,true
2025-06,PARAMS-01,bgc,starter,GROUP-A,2520093.75,23491.88,2349.19,0.00,2349.19,0.00,true,25200.94,8820.33,2024-04,false,false
2025-06,PARAMS-02,iblooming,starter,GROUP-A,2100078.12,19576.56,1957.66,0.00,1957.66,0.00,true,21000.78,7350.27,2024-04,true,true
2025-06,PARAMS-03,bgc,starter,GROUP-A,1820067.71,16966.35,1696.64,0.00,1696.64,0.00,true,18200.68,6370.24,2024-04,false,false
2025-06,PARAMS-04,iblooming,starter,GROUP-B,1540057.29,14356.15,1435.61,0.00,1435.61,0.00,true,15400.57,5390.20,2024-04,true,false
2025-06,PARAMS-05,bgc,builder,GROUP-B,1400052.08,13051.04,1305.10,0.00,1305.10,0.00,true,14000.52,4900.18,2024-07,true,true
2025-06,PARAMS-06,iblooming,builder,GROUP-B,1260046.88,11745.94,1174.59,0.00,1174.59,0.00,true,12600.47,4410.16,2024-07,false,true
2025-06,PARAMS-07,bgc,builder,GROUP-C,1120041.67,10440.83,1044.08,0.00,1044.08,0.00,true,11200.42,3920.15,2025-01,true,false
2025-06,PARAMS-08,iblooming,builder,GROUP-C,980036.46,9135.73,913.57,0.00,913.57,0.00,true,9800.36,3430.13,2025-01,false,true
2025-06,PARAMS-09,bgc,leader,GROUP-C,700026.04,6525.52,652.55,0.00,652.55,0.00,true,7000.26,2450.09,2025-04,true,true
2025-07,PARAMS-01,bgc,starter,GROUP-A,0.00,19247.40,1924.74,0.00,1924.74,0.00,true,0.00,0.00,2024-04,false,false
2025-07,PARAMS-02,iblooming,starter,GROUP-A,0.00,16039.50,1603.95,0.00,1603.95,0.00,true,0.00,0.00,2024-04,true,true
2025-07,PARAMS-03,bgc,starter,GROUP-A,0.00,13900.90,1390.09,0.00,1390.09,0.00,true,0.00,0.00,2024-04,false,false
2025-07,PARAMS-04,iblooming,starter,GROUP-B,0.00,11762.30,1176.23,0.00,1176.23,0.00,true,0.00,0.00,2024-04,true,false
2025-07,PARAMS-05,bgc,builder,GROUP-B,0.00,10693.00,1069.30,0.00,1069.30,0.00,true,0.00,0.00,2024-07,true,true
2025-07,PARAMS-06,iblooming,builder,GROUP-B,0.00,9623.70,962.37,0.00,962.37,0.00,true,0.00,0.00,2024-07,false,true
2025-07,PARAMS-07,bgc,builder,GROUP-C,0.00,8554.40,855.44,0.00,855.44,0.00,true,0.00,0.00,2025-01,true,false
2025-07,PARAMS-08,iblooming,builder,GROUP-C,0.00,7485.10,748.51,0.00,748.51,0.00,true,0.00,0.00,2025-01,false,true
2025-07,PARAMS-09,bgc,leader,GROUP-C,0.00,5346.50,534.65,0.00,534.65,0.00,true,0.00,0.00,2025-04,true,true
2025-07,PARAMS-10,iblooming,leader,GROUP-C,0.00,4277.20,427.72,0.00,427.72,0.00,true,0.00,0.00,2025-07,false,true
2025-08,PARAMS-01,bgc,starter,GROUP-A,0.00,26150.40,2615.04,0.00,2615.04,0.00,true,0.00,0.00,2024-04,false,false
2025-08,PARAMS-02,iblooming,starter,GROUP-A,0.00,21792.00,2179.20,0.00,2179.20,0.00,true,0.00,0.00,2024-04,true,true
2025-08,PARAMS-03,bgc,starter,GROUP-A,0.00,18886.40,1888.64,0.00,1888.64,0.00,true,0.00,0.00,2024-04,false,false
2025-08,PARAMS-04,iblooming,starter,GROUP-B,0.00,15980.80,1598.08,0.00,1598.08,0.00,true,0.00,0.00,2024-04,true,false
2025-08,PARAMS-05,bgc,builder,GROUP-B,0.00,14528.00,1452.80,0.00,1452.80,0.00,true,0.00,0.00,2024-07,true,true
2025-08,PARAMS-06,iblooming,builder,GROUP-B,0.00,13075.20,1307.52,0.00,1307.52,0.00,true,0.00,0.00,2024-07,false,true
2025-08,PARAMS-07,bgc,builder,GROUP-C,0.00,11622.40,1162.24,0.00,1162.24,0.00,true,0.00,0.00,2025-01,true,false
2025-08,PARAMS-08,iblooming,builder,GROUP-C,0.00,10169.60,1016.96,0.00,1016.96,0.00,true,0.00,0.00,2025-01,false,true
2025-08,PARAMS-09,bgc,leader,GROUP-C,0.00,7264.00,726.40,0.00,726.40,0.00,true,0.00,0.00,2025-04,true,true
2025-08,PARAMS-10,iblooming,leader,GROUP-C,0.00,5811.20,581.12,0.00,581.12,0.00,true,0.00,0.00,2025-07,false,true
2025-09,PARAMS-01,bgc,starter,GROUP-A,0.00,66524.40,6652.44,0.00,6652.44,0.00,true,0.00,0.00,2024-04,false,false
2025-09,PARAMS-02,iblooming,starter,GROUP-A,0.00,55437.00,5543.70,0.00,5543.70,0.00,true,0.00,0.00,2024-04,true,true
2025-09,PARAMS-03,bgc,starter,GROUP-A,0.00,48045.40,4804.54,0.00,4804.54,0.00,true,0.00,0.00,2024-04,false,false
2025-09,PARAMS-04,iblooming,starter,GROUP-B,0.00,40653.80,4065.38,0.00,4065.38,0.00,true,0.00,0.00,2024-04,true,false
2025-09,PARAMS-05,bgc,builder,GROUP-B,0.00,36958.00,3695.80,0.00,3695.80,0.00,true,0.00,0.00,2024-07,true,true
2025-09,PARAMS-06,iblooming,builder,GROUP-B,0.00,33262.20,3326.22,0.00,3326.22,0.00,true,0.00,0.00,2024-07,false,true
2025-09,PARAMS-07,bgc,builder,GROUP-C,0.00,29566.40,2956.64,0.00,2956.64,0.00,true,0.00,0.00,2025-01,true,false
2025-09,PARAMS-08,iblooming,builder,GROUP-C,0.00,25870.60,2587.06,0.00,2587.06,0.00,true,0.00,0.00,2025-01,false,true
2025-09,PARAMS-09,bgc,leader,GROUP-C,0.00,18479.00,1847.90,0.00,1847.90,0.00,true,0.00,0.00,2025-04,true,true
2025-09,PARAMS-10,iblooming,leader,GROUP-C,0.00,14783.20,1478.32,0.00,1478.32,0.00,true,0.00,0.00,2025-07,false,true
2025-10,PARAMS-01,bgc,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,false
2025-10,PARAMS-02,iblooming,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,true,true
2025-10,PARAMS-03,bgc,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,false
2025-10,PARAMS-04,iblooming,starter,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,true,false
2025-10,PARAMS-05,bgc,builder,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-07,true,true
2025-10,PARAMS-06,iblooming,builder,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-07,false,true
2025-10,PARAMS-07,bgc,builder,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-01,true,false
2025-10,PARAMS-08,iblooming,builder,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-01,false,true
2025-10,PARAMS-09,bgc,leader,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-04,true,true
2025-10,PARAMS-10,iblooming,leader,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-07,false,true
2025-11,PARAMS-01,bgc,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,false
2025-11,PARAMS-02,iblooming,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,true,true
2025-11,PARAMS-03,bgc,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,false
2025-11,PARAMS-04,iblooming,starter,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,true,false
2025-11,PARAMS-05,bgc,builder,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-07,true,true
2025-11,PARAMS-06,iblooming,builder,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-07,false,true
2025-11,PARAMS-07,bgc,builder,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-01,true,false
2025-11,PARAMS-08,iblooming,builder,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-01,false,true
2025-11,PARAMS-09,bgc,leader,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-04,true,true
2025-11,PARAMS-10,iblooming,leader,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-07,false,true
2025-12,PARAMS-01,bgc,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,false
2025-12,PARAMS-02,iblooming,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,true,true
2025-12,PARAMS-03,bgc,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,false
2025-12,PARAMS-04,iblooming,starter,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,true,false
2025-12,PARAMS-05,bgc,builder,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-07,true,true
2025-12,PARAMS-06,iblooming,builder,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-07,false,true
2025-12,PARAMS-07,bgc,builder,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-01,true,false
2025-12,PARAMS-08,iblooming,builder,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-01,false,true
2025-12,PARAMS-09,bgc,leader,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-04,true,true
2025-12,PARAMS-10,iblooming,leader,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-07,false,true
2026-01,PARAMS-01,bgc,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,false
2026-01,PARAMS-02,iblooming,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,true,true
2026-01,PARAMS-03,bgc,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,false
2026-01,PARAMS-04,iblooming,starter,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,true,false
2026-01,PARAMS-05,bgc,builder,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-07,true,true
2026-01,PARAMS-06,iblooming,builder,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-07,false,true
2026-01,PARAMS-07,bgc,builder,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-01,true,false
2026-01,PARAMS-08,iblooming,builder,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-01,false,true
2026-01,PARAMS-09,bgc,leader,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-04,true,true
2026-01,PARAMS-10,iblooming,leader,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-07,false,true
2026-02,PARAMS-01,bgc,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,false
2026-02,PARAMS-02,iblooming,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,true,true
2026-02,PARAMS-03,bgc,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,false
2026-02,PARAMS-04,iblooming,starter,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,true,false
2026-02,PARAMS-05,bgc,builder,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-07,true,true
2026-02,PARAMS-06,iblooming,builder,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-07,false,true
2026-02,PARAMS-07,bgc,builder,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-01,true,false
2026-02,PARAMS-08,iblooming,builder,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-01,false,true
2026-02,PARAMS-09,bgc,leader,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-04,true,true
2026-02,PARAMS-10,iblooming,leader,GROUP-C,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2025-07,false,true
2026-03,PARAMS-01,bgc,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,false
2026-03,PARAMS-02,iblooming,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,true,true
2026-03,PARAMS-03,bgc,starter,GROUP-A,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,false
2026-03,PARAMS-04,iblooming,starter,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,true,false
2026-03,PARAMS-05,bgc,builder,GROUP-B,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-07,true,true
