record_type,snapshot_id,stable_key,display_name,group_key,join_period,member_stable_key,source_system,alias_key,alias_type,confidence,role_type,role_value,effective_from,effective_to,source_event_ref,offer_code,offer_type,label,price_fiat_usd,pc_grant,sp_accrual,pc_grant_rule,lts_generation_rule,reward_rule_reference,event_ref,event_type,occurred_at,effective_period,actor_member_stable_key,beneficiary_member_stable_key,related_member_stable_key,quantity,amount,unit,recognized_revenue_usd,gross_margin_usd,cash_in_usd,internal_credit_spent_usd,payment_method,entry_type,amount_pc,amount_sp,sink_spend_usd,reward_source_code,distribution_cycle,obligation_status,origin_join_level,tier,imatrix_plan,eligibility_snapshot_key,pool_code,recipient_member_stable_key,share_count,pool_recipient_count,pool_share_total,amount_usd,fee_usd,cashout_source_system,breakdown_key,scenario_code,policy_group,qualification_type,window_key,starts_at,ends_at,threshold_amount,threshold_unit,status,source_window_key,metadata
offer,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,IBLOOMING,,,,,,,,,IB_IMATRIX_EXPERT,IB_IMATRIX_PRODUCT,iMatrix EXPERT,300,,,,,IBLOOMING_REBATE_MATRIX_V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""Offer/catalog row.""}"
member,case-10m-12m-bgc-iblooming-full-detail-csv,BGC-2026-01-ENTRY-PATHFINDER,BGC 2026 01 ENTRY PATHFINDER,FOUNDERS,2026-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""aggregate_member"":true,""cohort_member_count"":79895}"
member_alias,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-PATHFINDER,BGC,BGC-BGC-2026-01-ENTRY-PATHFINDER,member_id,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
role_history,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-PATHFINDER,BGC,,,,AFFILIATE_LEVEL,PATHFINDER,2026-01-01T00:00:00.000Z,,EVT-BGC-2026-01-ENTRY-PATHFINDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""status_meaning"":""This is an active BGC level, not only eligibility.""}"
business_event,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,BGC,,,,,,,,EVT-BGC-2026-01-ENTRY-PATHFINDER,BGC_JOIN_PATHFINDER,,,,,,,,,EVT-BGC-2026-01-ENTRY-PATHFINDER,AFFILIATE_UPGRADED,2026-01-15T12:00:00.000Z,2026-01,BGC-2026-01-ENTRY-PATHFINDER,BGC-2026-01-ENTRY-PATHFINDER,,79895,7989500,USD,7989500,7989500,7989500,639160,MIXED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""aggregate_row"":true,""row_semantics"":""compatibility_member_month_fact"",""source_of_truth_reference"":""understanding_doc_fixed"",""source_categories"":[""aggregate_cohort"",""bgc_affiliate_entry_upgrade"",""case_10m_12m_business_sample""],""cohort_member_count"":79895,""cohort_type"":""bgc_affiliate_entry_or_upgrade"",""cashflow_basis"":""Membership/upgrade creates new cash. Product use in the same period spends internal credit."",""cash_in_usd"":7989500,""internal_credit_spent_usd"":639160,""payment_method"":""MIXED"",""recognized_revenue_basis"":{""basis"":""aggregate_affiliate_entry_upgrade_revenue"",""offer_code"":""BGC_JOIN_PATHFINDER"",""unit_price_usd"":100,""cohort_member_count"":79895,""aggregate_revenue_usd"":7989500},""gross_margin_basis"":{""gross_margin_usd"":7989500},""case_member_mix"":{""unique_members"":10000000,""bgc_source_members"":6400000,""iblooming_source_members"":5800000,""cross_app_overlap_members"":2200000,""bgc_affiliate_entry_or_upgrade_events"":3150000,""iblooming_channel_providers"":1600000,""iblooming_ai_users"":4200000,""note"":""Unique members = BGC source members + iBlooming source members - cross-app overlap.""},""affected_programs"":[""PC"",""WEC eligibility"",""SP/LTS"",""RR"",""GR"",""GPSP"",""WEC Pool""],""active_roles"":[""AFFILIATE_LEVEL:PATHFINDER""],""active_qualifications"":[],""accountability_checks"":{""global_reward_breakdown_matches_total"":true,""pool_reward_breakdown_matches_total"":true,""cashout_total_usd"":10737.89,""sink_total_usd"":639160},""source_event_ref"":""EVT-BGC-2026-01-ENTRY-PATHFINDER"",""snapshot_file_type_case"":""full_detail_csv""}"
pc_entry,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-PATHFINDER,,,,,,,,,EVT-BGC-2026-01-ENTRY-PATHFINDER,,,,,,,,,,,,,2026-01,,,,,,,,,,,,GRANT,798950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""PC granted from BGC entry/upgrade.""}"
sp_entry,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-PATHFINDER,,,,,,,,,EVT-BGC-2026-01-ENTRY-PATHFINDER,,,,,,,,,,,,,2026-01,,,,,,,,,,,,ACCRUAL,,5592650,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""SP/LTS generated from BGC tier rule.""}"
reward_obligation,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-PATHFINDER,,,,,,,,,EVT-BGC-2026-01-ENTRY-PATHFINDER,,,,,,,,,,,,,2026-01,,,,,559265,USD,,,,,,,,,,BGC_RR,EVENT_BASED,ACCRUED,PATHFINDER,,,,,,,,,,,,,,,,,,,,,,,"{""origin_join_level"":""PATHFINDER""}"
reward_obligation,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-PATHFINDER,,,,,,,,,EVT-BGC-2026-01-ENTRY-PATHFINDER,,,,,,,,,,,,,2026-01,,,,,22370.6,USD,,,,,,,,,,BGC_MIRACLE_CASH,EVENT_BASED,ACCRUED,,,,,,,,,,,,,,,,,,,,,,,,{}
pool_entry,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,,,,,,,,,EVT-BGC-2026-01-ENTRY-PATHFINDER,,,,,,,,,,,,,2026-01,,,,,257261.9,USD,,,,,,FUNDING,,,,,MONTHLY,,,,,,BGC_GPSP_MONTHLY_POOL,,,,,,,,,,,,,,,,,,,"{""funding_basis"":""Aggregate source-event pool funding.""}"
pool_entry,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,,,,,,,,,EVT-BGC-2026-01-ENTRY-PATHFINDER,,,,,,,,,,,,,2026-01,,,,,223706,USD,,,,,,DISTRIBUTION,,,,,MONTHLY,,,,,BGC_GPSP_MONTHLY_POOL-2026-01,BGC_GPSP_MONTHLY_POOL,BGC-2026-01-ENTRY-PATHFINDER,1,1,1,,,,,,,,,,,,,,,"{""distribution_basis"":""One aggregate cohort recipient row.""}"
cashout_event,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-PATHFINDER,,,,,,,,,EVT-BGC-2026-01-ENTRY-PATHFINDER,,,,,,,,,,,PAID,2026-01-31T23:59:59.999Z,2026-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,10737.89,107.38,BGC,CASHOUT,BASE_SAMPLE_CASHOUT,STANDARD,,,,,,,,,"{""source_note"":""Cash that actually leaves the ecosystem.""}"
member,case-10m-12m-bgc-iblooming-full-detail-csv,BGC-2026-01-ENTRY-VOYAGER,BGC 2026 01 ENTRY VOYAGER,FOUNDERS,2026-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""aggregate_member"":true,""cohort_member_count"":55039}"
member_alias,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-VOYAGER,BGC,BGC-BGC-2026-01-ENTRY-VOYAGER,member_id,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
role_history,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-VOYAGER,BGC,,,,AFFILIATE_LEVEL,VOYAGER,2026-01-01T00:00:00.000Z,,EVT-BGC-2026-01-ENTRY-VOYAGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""status_meaning"":""This is an active BGC level, not only eligibility.""}"
business_event,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,BGC,,,,,,,,EVT-BGC-2026-01-ENTRY-VOYAGER,BGC_JOIN_VOYAGER,,,,,,,,,EVT-BGC-2026-01-ENTRY-VOYAGER,AFFILIATE_UPGRADED,2026-01-15T12:00:00.000Z,2026-01,BGC-2026-01-ENTRY-VOYAGER,BGC-2026-01-ENTRY-VOYAGER,,55039,27519500,USD,27519500,27519500,27519500,440312,MIXED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""aggregate_row"":true,""row_semantics"":""compatibility_member_month_fact"",""source_of_truth_reference"":""understanding_doc_fixed"",""source_categories"":[""aggregate_cohort"",""bgc_affiliate_entry_upgrade"",""case_10m_12m_business_sample""],""cohort_member_count"":55039,""cohort_type"":""bgc_affiliate_entry_or_upgrade"",""cashflow_basis"":""Membership/upgrade creates new cash. Product use in the same period spends internal credit."",""cash_in_usd"":27519500,""internal_credit_spent_usd"":440312,""payment_method"":""MIXED"",""recognized_revenue_basis"":{""basis"":""aggregate_affiliate_entry_upgrade_revenue"",""offer_code"":""BGC_JOIN_VOYAGER"",""unit_price_usd"":500,""cohort_member_count"":55039,""aggregate_revenue_usd"":27519500},""gross_margin_basis"":{""gross_margin_usd"":27519500},""case_member_mix"":{""unique_members"":10000000,""bgc_source_members"":6400000,""iblooming_source_members"":5800000,""cross_app_overlap_members"":2200000,""bgc_affiliate_entry_or_upgrade_events"":3150000,""iblooming_channel_providers"":1600000,""iblooming_ai_users"":4200000,""note"":""Unique members = BGC source members + iBlooming source members - cross-app overlap.""},""affected_programs"":[""PC"",""WEC eligibility"",""SP/LTS"",""RR"",""GR"",""GPSP"",""WEC Pool""],""active_roles"":[""AFFILIATE_LEVEL:VOYAGER""],""active_qualifications"":[],""accountability_checks"":{""global_reward_breakdown_matches_total"":true,""pool_reward_breakdown_matches_total"":true,""cashout_total_usd"":137542.46,""sink_total_usd"":440312},""source_event_ref"":""EVT-BGC-2026-01-ENTRY-VOYAGER"",""snapshot_file_type_case"":""full_detail_csv""}"
pc_entry,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-VOYAGER,,,,,,,,,EVT-BGC-2026-01-ENTRY-VOYAGER,,,,,,,,,,,,,2026-01,,,,,,,,,,,,GRANT,2751950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""PC granted from BGC entry/upgrade.""}"
sp_entry,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-VOYAGER,,,,,,,,,EVT-BGC-2026-01-ENTRY-VOYAGER,,,,,,,,,,,,,2026-01,,,,,,,,,,,,ACCRUAL,,19263650,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""SP/LTS generated from BGC tier rule.""}"
reward_obligation,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-VOYAGER,,,,,,,,,EVT-BGC-2026-01-ENTRY-VOYAGER,,,,,,,,,,,,,2026-01,,,,,1926365,USD,,,,,,,,,,BGC_RR,EVENT_BASED,ACCRUED,VOYAGER,,,,,,,,,,,,,,,,,,,,,,,"{""origin_join_level"":""VOYAGER""}"
reward_obligation,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-VOYAGER,,,,,,,,,EVT-BGC-2026-01-ENTRY-VOYAGER,,,,,,,,,,,,,2026-01,,,,,5586458.5,USD,,,,,,,,,,BGC_GR,EVENT_BASED,ACCRUED,VOYAGER,,,,,,,,,,,,,,,,,,,,,,,"{""origin_join_level"":""VOYAGER""}"
reward_obligation,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-VOYAGER,,,,,,,,,EVT-BGC-2026-01-ENTRY-VOYAGER,,,,,,,,,,,,,2026-01,,,,,77054.6,USD,,,,,,,,,,BGC_MIRACLE_CASH,EVENT_BASED,ACCRUED,,,,,,,,,,,,,,,,,,,,,,,,{}
pool_entry,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,,,,,,,,,EVT-BGC-2026-01-ENTRY-VOYAGER,,,,,,,,,,,,,2026-01,,,,,886127.9,USD,,,,,,FUNDING,,,,,MONTHLY,,,,,,BGC_GPSP_MONTHLY_POOL,,,,,,,,,,,,,,,,,,,"{""funding_basis"":""Aggregate source-event pool funding.""}"
pool_entry,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,,,,,,,,,EVT-BGC-2026-01-ENTRY-VOYAGER,,,,,,,,,,,,,2026-01,,,,,770546,USD,,,,,,DISTRIBUTION,,,,,MONTHLY,,,,,BGC_GPSP_MONTHLY_POOL-2026-01,BGC_GPSP_MONTHLY_POOL,BGC-2026-01-ENTRY-VOYAGER,1,1,1,,,,,,,,,,,,,,,"{""distribution_basis"":""One aggregate cohort recipient row.""}"
cashout_event,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-VOYAGER,,,,,,,,,EVT-BGC-2026-01-ENTRY-VOYAGER,,,,,,,,,,,PAID,2026-01-31T23:59:59.999Z,2026-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,137542.46,1375.42,BGC,CASHOUT,BASE_SAMPLE_CASHOUT,STANDARD,,,,,,,,,"{""source_note"":""Cash that actually leaves the ecosystem.""}"
member,case-10m-12m-bgc-iblooming-full-detail-csv,BGC-2026-01-ENTRY-EXPLORER,BGC 2026 01 ENTRY EXPLORER,FOUNDERS,2026-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""aggregate_member"":true,""cohort_member_count"":34621}"
member_alias,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-EXPLORER,BGC,BGC-BGC-2026-01-ENTRY-EXPLORER,member_id,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
role_history,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-EXPLORER,BGC,,,,AFFILIATE_LEVEL,EXPLORER,2026-01-01T00:00:00.000Z,,EVT-BGC-2026-01-ENTRY-EXPLORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""status_meaning"":""This is an active BGC level, not only eligibility.""}"
business_event,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,BGC,,,,,,,,EVT-BGC-2026-01-ENTRY-EXPLORER,BGC_JOIN_EXPLORER,,,,,,,,,EVT-BGC-2026-01-ENTRY-EXPLORER,AFFILIATE_UPGRADED,2026-01-15T12:00:00.000Z,2026-01,BGC-2026-01-ENTRY-EXPLORER,BGC-2026-01-ENTRY-EXPLORER,,34621,59721225,USD,59721225,59721225,59721225,276968,MIXED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""aggregate_row"":true,""row_semantics"":""compatibility_member_month_fact"",""source_of_truth_reference"":""understanding_doc_fixed"",""source_categories"":[""aggregate_cohort"",""bgc_affiliate_entry_upgrade"",""case_10m_12m_business_sample""],""cohort_member_count"":34621,""cohort_type"":""bgc_affiliate_entry_or_upgrade"",""cashflow_basis"":""Membership/upgrade creates new cash. Product use in the same period spends internal credit."",""cash_in_usd"":59721225,""internal_credit_spent_usd"":276968,""payment_method"":""MIXED"",""recognized_revenue_basis"":{""basis"":""aggregate_affiliate_entry_upgrade_revenue"",""offer_code"":""BGC_JOIN_EXPLORER"",""unit_price_usd"":1725,""cohort_member_count"":34621,""aggregate_revenue_usd"":59721225},""gross_margin_basis"":{""gross_margin_usd"":59721225},""case_member_mix"":{""unique_members"":10000000,""bgc_source_members"":6400000,""iblooming_source_members"":5800000,""cross_app_overlap_members"":2200000,""bgc_affiliate_entry_or_upgrade_events"":3150000,""iblooming_channel_providers"":1600000,""iblooming_ai_users"":4200000,""note"":""Unique members = BGC source members + iBlooming source members - cross-app overlap.""},""affected_programs"":[""PC"",""WEC eligibility"",""SP/LTS"",""RR"",""GR"",""GPSP"",""WEC Pool""],""active_roles"":[""AFFILIATE_LEVEL:EXPLORER""],""active_qualifications"":[],""accountability_checks"":{""global_reward_breakdown_matches_total"":true,""pool_reward_breakdown_matches_total"":true,""cashout_total_usd"":328450.12,""sink_total_usd"":276968},""source_event_ref"":""EVT-BGC-2026-01-ENTRY-EXPLORER"",""snapshot_file_type_case"":""full_detail_csv""}"
pc_entry,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-EXPLORER,,,,,,,,,EVT-BGC-2026-01-ENTRY-EXPLORER,,,,,,,,,,,,,2026-01,,,,,,,,,,,,GRANT,5972122500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""PC granted from BGC entry/upgrade.""}"
sp_entry,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-EXPLORER,,,,,,,,,EVT-BGC-2026-01-ENTRY-EXPLORER,,,,,,,,,,,,,2026-01,,,,,,,,,,,,ACCRUAL,,41787547,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""SP/LTS generated from BGC tier rule.""}"
reward_obligation,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-EXPLORER,,,,,,,,,EVT-BGC-2026-01-ENTRY-EXPLORER,,,,,,,,,,,,,2026-01,,,,,5014505.64,USD,,,,,,,,,,BGC_RR,EVENT_BASED,ACCRUED,EXPLORER,,,,,,,,,,,,,,,,,,,,,,,"{""origin_join_level"":""EXPLORER""}"
reward_obligation,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-EXPLORER,,,,,,,,,EVT-BGC-2026-01-ENTRY-EXPLORER,,,,,,,,,,,,,2026-01,,,,,12954139.57,USD,,,,,,,,,,BGC_GR,EVENT_BASED,ACCRUED,EXPLORER,,,,,,,,,,,,,,,,,,,,,,,"{""origin_join_level"":""EXPLORER""}"
reward_obligation,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-EXPLORER,,,,,,,,,EVT-BGC-2026-01-ENTRY-EXPLORER,,,,,,,,,,,,,2026-01,,,,,167150.19,USD,,,,,,,,,,BGC_MIRACLE_CASH,EVENT_BASED,ACCRUED,,,,,,,,,,,,,,,,,,,,,,,,{}
pool_entry,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,,,,,,,,,EVT-BGC-2026-01-ENTRY-EXPLORER,,,,,,,,,,,,,2026-01,,,,,1922227.16,USD,,,,,,FUNDING,,,,,MONTHLY,,,,,,BGC_GPSP_MONTHLY_POOL,,,,,,,,,,,,,,,,,,,"{""funding_basis"":""Aggregate source-event pool funding.""}"
pool_entry,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,,,,,,,,,EVT-BGC-2026-01-ENTRY-EXPLORER,,,,,,,,,,,,,2026-01,,,,,1671501.88,USD,,,,,,DISTRIBUTION,,,,,MONTHLY,,,,,BGC_GPSP_MONTHLY_POOL-2026-01,BGC_GPSP_MONTHLY_POOL,BGC-2026-01-ENTRY-EXPLORER,1,1,1,,,,,,,,,,,,,,,"{""distribution_basis"":""One aggregate cohort recipient row.""}"
cashout_event,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-EXPLORER,,,,,,,,,EVT-BGC-2026-01-ENTRY-EXPLORER,,,,,,,,,,,PAID,2026-01-31T23:59:59.999Z,2026-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,328450.12,3284.5,BGC,CASHOUT,BASE_SAMPLE_CASHOUT,STANDARD,,,,,,,,,"{""source_note"":""Cash that actually leaves the ecosystem.""}"
member,case-10m-12m-bgc-iblooming-full-detail-csv,BGC-2026-01-ENTRY-PIONEER,BGC 2026 01 ENTRY PIONEER,FOUNDERS,2026-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""aggregate_member"":true,""cohort_member_count"":6569}"
member_alias,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-PIONEER,BGC,BGC-BGC-2026-01-ENTRY-PIONEER,member_id,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
role_history,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-PIONEER,BGC,,,,AFFILIATE_LEVEL,PIONEER,2026-01-01T00:00:00.000Z,,EVT-BGC-2026-01-ENTRY-PIONEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""status_meaning"":""This is an active BGC level, not only eligibility.""}"
role_history,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-PIONEER,BGC,,,,WEC_STATUS,ACHIEVED,2026-01-01T00:00:00.000Z,,EVT-BGC-2026-01-ENTRY-PIONEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""status_meaning"":""WEC is achieved in this source-detail sample.""}"
qualification_window,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-PIONEER,,,,,,,,,EVT-BGC-2026-01-ENTRY-PIONEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEC_60_DAY,WEC-2026-01-PIONEER,2026-01-01T00:00:00.000Z,2026-01-31T23:59:59.999Z,10000,USD,,,"{""requirement_note"":""WEC needs source detail; eligibility alone is not active WEC.""}"
qualification_status,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,BGC-2026-01-ENTRY-PIONEER,,,,,,,2026-01-15T12:00:00.000Z,,EVT-BGC-2026-01-ENTRY-PIONEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEC_60_DAY,,,,,,ACHIEVED,WEC-2026-01-PIONEER,{}
