period_key,member_key,source_system,member_tier,group_key,pc_volume,sp_reward_basis,global_reward_usd,pool_reward_usd,cashout_usd,sink_spend_usd,active_member,recognized_revenue_usd,gross_margin_usd,member_join_period,is_affiliate,cross_app_active
2025-05,MEMBER-104,iblooming,leader,GROUP-B,3520,352,100,44,146,168,true,205,66,2024-04,true,true
2025-05,MEMBER-105,bgc,starter,GROUP-C,1060,104,26,11,6,24,true,49,15,2025-03,false,false
2025-06,MEMBER-101,bgc,starter,GROUP-A,1600,200,48,20,20,46,true,92,28,2024-10,false,false
2025-06,MEMBER-102,iblooming,builder,GROUP-A,2430,260,70,29,82,106,true,145,46,2024-08,true,true
2025-06,MEMBER-103,bgc,builder,GROUP-B,80,0,0,0,0,0,false,0,0,2024-07,true,false
2025-06,MEMBER-104,iblooming,leader,GROUP-B,3600,360,102,45,150,173,true,210,67,2024-04,true,true
2025-06,MEMBER-105,bgc,starter,GROUP-C,1140,112,28,12,8,27,true,53,17,2025-03,false,false
2025-07,MEMBER-101,bgc,starter,GROUP-A,1660,208,50,21,22,49,true,95,30,2024-10,false,false
2025-07,MEMBER-102,iblooming,builder,GROUP-A,2500,268,72,30,86,111,true,150,48,2024-08,true,true
2025-07,MEMBER-103,bgc,builder,GROUP-B,2300,245,66,27,85,96,true,138,44,2024-07,true,false
2025-07,MEMBER-104,iblooming,leader,GROUP-B,3680,368,104,46,154,178,true,216,69,2024-04,true,true
2025-07,MEMBER-105,bgc,starter,GROUP-C,1220,120,30,13,10,30,true,57,18,2025-03,false,false
2025-07,MEMBER-106,iblooming,starter,GROUP-C,760,72,18,7,0,14,true,34,11,2025-07,true,true
2025-08,MEMBER-101,bgc,starter,GROUP-A,1720,216,52,22,24,52,true,99,31,2024-10,false,false
2025-08,MEMBER-102,iblooming,builder,GROUP-A,2580,276,74,31,90,116,true,156,50,2024-08,true,true
2025-08,MEMBER-103,bgc,builder,GROUP-B,2380,253,68,28,88,100,true,143,46,2024-07,true,false
2025-08,MEMBER-104,iblooming,leader,GROUP-B,3760,376,106,47,158,183,true,221,71,2024-04,true,true
2025-08,MEMBER-105,bgc,starter,GROUP-C,1300,128,32,14,12,33,true,61,19,2025-03,false,false
2025-08,MEMBER-106,iblooming,starter,GROUP-C,840,80,20,8,3,17,true,38,12,2025-07,true,true
2025-09,MEMBER-101,bgc,starter,GROUP-A,1780,224,54,23,26,54,true,103,32,2024-10,false,false
2025-09,MEMBER-102,iblooming,builder,GROUP-A,2650,284,76,32,95,121,true,161,51,2024-08,true,true
2025-09,MEMBER-103,bgc,builder,GROUP-B,2460,261,70,29,92,104,true,148,47,2024-07,true,false
2025-09,MEMBER-104,iblooming,leader,GROUP-B,3840,384,108,48,162,188,true,226,72,2024-04,true,true
2025-09,MEMBER-105,bgc,starter,GROUP-C,1380,136,34,15,14,36,true,65,20,2025-03,false,false
2025-09,MEMBER-106,iblooming,starter,GROUP-C,920,88,22,9,5,20,true,42,13,2025-07,true,true
2025-10,MEMBER-101,bgc,starter,GROUP-A,1840,232,56,24,28,57,true,107,33,2024-10,false,false
2025-10,MEMBER-102,iblooming,builder,GROUP-A,2730,292,78,33,100,126,true,167,53,2024-08,true,true
2025-10,MEMBER-103,bgc,builder,GROUP-B,2540,269,72,30,95,108,true,153,49,2024-07,true,false
2025-10,MEMBER-104,iblooming,leader,GROUP-B,3920,392,110,49,166,193,true,232,74,2024-04,true,true
2025-10,MEMBER-105,bgc,starter,GROUP-C,1460,144,36,16,16,39,true,69,22,2025-03,false,false
2025-10,MEMBER-106,iblooming,starter,GROUP-C,1000,96,24,10,7,23,true,46,14,2025-07,true,true
2025-11,MEMBER-101,bgc,starter,GROUP-A,1900,240,58,25,30,60,true,111,34,2024-10,false,false
2025-11,MEMBER-102,iblooming,builder,GROUP-A,2800,300,80,34,105,131,true,172,55,2024-08,true,true
2025-11,MEMBER-103,bgc,builder,GROUP-B,2620,277,74,31,98,112,true,158,50,2024-07,true,false
2025-11,MEMBER-104,iblooming,leader,GROUP-B,4000,400,112,50,170,198,true,238,76,2024-04,true,true
2025-11,MEMBER-105,bgc,starter,GROUP-C,1540,152,38,17,18,42,true,73,23,2025-03,false,false
2025-11,MEMBER-106,iblooming,starter,GROUP-C,1080,104,26,11,9,26,true,50,16,2025-07,true,true
2025-12,MEMBER-101,bgc,starter,GROUP-A,1960,248,60,26,32,63,true,115,36,2024-10,false,false
2025-12,MEMBER-102,iblooming,builder,GROUP-A,2880,308,82,35,110,136,true,178,57,2024-08,true,true
2025-12,MEMBER-103,bgc,builder,GROUP-B,2700,285,76,32,102,116,true,163,52,2024-07,true,false
2025-12,MEMBER-104,iblooming,leader,GROUP-B,4080,408,114,51,174,203,true,244,78,2024-04,true,true
2025-12,MEMBER-105,bgc,starter,GROUP-C,1620,160,40,18,20,45,true,77,24,2025-03,false,false
2025-12,MEMBER-106,iblooming,starter,GROUP-C,1160,112,28,12,12,29,true,54,17,2025-07,true,true
